species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_a_b_0, 0.96, 0, 0.03, 0.03, 0.96, 0.01, 0.96, 0.93
Node_a_c_0, 0.93, 0, 0.02, 0.17, 0.93, 0.28, 0.93, 0.92
Node_a_d_0, 0.66, 0, 0, 0.02, 0.66, 0.03, 0.66, 0.63
Node_a_f_0, 0.59, 0, 0, 0, 0.59, 0.59, 0.59, 0.59
Node_d_e_0, 1, 0, 0, 0.24, 1, 0.04, 1, 0.86
a, 1, 0, 0.17, 0.32, 1, 0, 1, 1
b, 1, 0, 0.22, 0.27, 1, 0, 1, 1
c, 1, 0, 0.23, 0.26, 1, 0, 1, 1
d, 1, 0, 0, 0.02, 1, 0, 1, 1
e, 1, 0, 0, 0, 1, 0, 1, 1
f, 1, 0, 0.01, 0.21, 1, 0.05, 1, 1
