species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_a_b_0, 1, 0, 0.01, 0.03, 1, 0, 1, 0.99
Node_a_c_0, 1, 0, 0.05, 0.08, 1, 0.07, 1, 0.81
Node_a_d_0, 0.79, 0, 0, 0.05, 0.79, 0.62, 0.79, 0.78
Node_a_f_0, 0.16, 0, 0, 0.01, 0.16, 0.16, 0.16, 0.16
Node_d_e_0, 1, 0, 0, 0.05, 1, 0.13, 1, 0.92
a, 1, 0, 0, 0, 1, 0, 1, 1
b, 1, 0, 0, 0, 1, 0, 1, 1
c, 1, 0, 0.01, 0, 1, 0, 1, 1
d, 1, 0, 0.08, 0.87, 1, 0.01, 1, 1
e, 1, 0, 0.04, 0.14, 1, 0, 1, 1
f, 1, 0, 0.02, 0.03, 1, 0.01, 1, 1
