species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_a_b_0, 0.83, 0, 0.07, 0.08, 0.82, 0.1, 0.83, 0.82
Node_a_c_0, 0.76, 0, 0.06, 0.06, 0.76, 0.22, 0.76, 0.63
Node_a_d_0, 0.46, 0, 0, 0.04, 0.46, 0.32, 0.46, 0.46
Node_a_f_0, 0.14, 0, 0, 0.06, 0.14, 0.14, 0.14, 0.14
Node_d_e_0, 0.63, 0, 0.03, 0.12, 0.62, 0.1, 0.63, 0.55
a, 1, 0, 0.02, 0.28, 1, 0.02, 1, 1
b, 1, 0, 0.49, 0.89, 1, 0.03, 1, 1
c, 1, 0, 0, 0.09, 1, 0.02, 1, 1
d, 1, 0, 0.09, 1.04, 1, 0.01, 1, 1
e, 1, 0, 0.03, 0.24, 1, 0, 1, 1
f, 1, 0, 0.02, 0.09, 1, 0.04, 1, 1
