species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_a_b_0, 3.79, 0, 0.11, 0.14, 3.78, 0.11, 3.79, 3.74
Node_a_c_0, 3.69, 0, 0.14, 0.35, 3.69, 0.57, 3.69, 3.35
Node_a_d_0, 2.91, 0, 0, 0.12, 2.91, 1.05, 2.91, 2.86
Node_a_f_0, 1.8, 0, 0, 0.07, 1.8, 1.8, 1.8, 1.8
Node_d_e_0, 3.63, 0, 0.03, 0.44, 3.62, 0.27, 3.63, 3.33
a, 4, 0, 0.19, 0.6, 4, 0.02, 4, 4
b, 4, 0, 0.71, 1.17, 4, 0.03, 4, 4
c, 4, 0, 0.25, 0.35, 4, 0.02, 4, 4
d, 4, 0, 0.17, 1.93, 4, 0.02, 4, 4
e, 4, 0, 0.07, 0.39, 4, 0, 4, 4
f, 4, 0, 0.05, 0.34, 4, 0.11, 4, 4
