species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0.258126, 0.251425, 1.0001, 0.0010001, 1.0001, 1.0001
B, 1.0001, 0, 0.273327, 0.269427, 1.0001, 0.00090009, 1.0001, 1.0001
C, 1.0001, 0, 0.274127, 0.342634, 1.0001, 0.00370037, 1.0001, 1.0001
D, 1.0001, 0, 0.0040004, 0.0130013, 1.0001, 0.00060006, 1.0001, 1.0001
E, 1.0001, 0, 0.00410041, 0.0132013, 1.0001, 0.00080008, 1.0001, 1.0001
F, 1.0001, 0, 0.00790079, 0.253525, 1.0001, 0.0152015, 1.0001, 1.0001
Node_A_B_0, 0.9989, 0, 0.0240024, 0.080308, 0.969497, 0.0194019, 0.9989, 0.960596
Node_A_C_0, 0.928493, 0, 0.0318032, 0.00980098, 0.928093, 0.144414, 0.928493, 0.925293
Node_A_D_0, 0.812681, 0, 0.00330033, 0.0180018, 0.812181, 0.0619062, 0.812681, 0.80228
Node_A_F_0, 0.737174, 0, 0, 0, 0.737174, 0.737674, 0.737174, 0.737174
Node_D_E_0, 0.990799, 0, 0.0205021, 0.182318, 0.990699, 0.0145015, 0.990799, 0.90139
