species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0.0135014, 0.0315032, 1.0001, 0.00390039, 1.0001, 1.0001
B, 1.0001, 0, 0.0134013, 0.0319032, 1.0001, 0.00370037, 1.0001, 1.0001
C, 1.0001, 0, 0.0166017, 0.226523, 1.0001, 0.0210021, 1.0001, 1.0001
D, 1.0001, 0, 0, 0.039904, 1.0001, 0.00190019, 1.0001, 1.0001
E, 1.0001, 0, 0, 0.039904, 1.0001, 0.0020002, 1.0001, 1.0001
F, 1.0001, 0, 0.00010001, 0.933493, 1.0001, 0.0270027, 1.0001, 1.0001
Node_A_B_0, 0.977898, 0, 0.00060006, 0.10341, 0.977898, 0.106411, 0.977898, 0.908891
Node_A_C_0, 0.769177, 0, 0.00080008, 0.00050005, 0.769177, 0.724672, 0.769177, 0.768977
Node_A_D_0, 0.0448045, 0, 0.00010001, 0.00060006, 0.0448045, 0.00470047, 0.0448045, 0.0442044
Node_A_F_0, 0.039604, 0, 0, 0, 0.039604, 0.039704, 0.039604, 0.039604
Node_D_E_0, 0.958296, 0, 0.00110011, 0.849185, 0.958296, 0.0651065, 0.958296, 0.540954
