species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1, 0, 0.2513, 0.1731, 1, 0.001, 1, 1
B, 1, 0, 0.2692, 0.3405, 1, 0.001, 1, 1
C, 1, 0, 0.2751, 0.2823, 1, 0.0036, 1, 1
D, 1, 0, 0.0043, 0.015, 1, 0.0006, 1, 1
E, 1, 0, 0.0047, 0.0152, 1, 0.0008, 1, 1
F, 1, 0, 0.0058, 0.1176, 1, 0.0152, 1, 1
Node_A_B_0, 0.999, 0, 0.0289, 0.0466, 0.9696, 0.0195, 0.999, 0.9606
Node_A_C_0, 0.928, 0, 0.038, 0.2667, 0.9276, 0.144, 0.928, 0.9248
Node_A_D_0, 0.8123, 0, 0.0044, 0.0257, 0.8118, 0.0611, 0.8123, 0.8021
Node_A_F_0, 0.7381, 0, 0.0005, 0.0098, 0.7381, 0.7386, 0.7381, 0.7381
Node_D_E_0, 0.9908, 0, 0.0188, 0.1403, 0.9907, 0.0146, 0.9908, 0.9011
