species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0, 0.00050005, 1.0001, 0.00010001, 1.0001, 1.0001
B, 1.0001, 0, 0, 0.00050005, 1.0001, 0.00010001, 1.0001, 1.0001
C, 1.0001, 0, 0, 0.00580058, 1.0001, 0.00070007, 1.0001, 1.0001
D, 1.0001, 0, 0, 0.00770077, 1.0001, 0.00160016, 1.0001, 1.0001
E, 1.0001, 0, 0, 0.0070007, 1.0001, 0.00230023, 1.0001, 1.0001
F, 1.0001, 0, 0, 0.987799, 1.0001, 0.0123012, 1.0001, 1.0001
Node_A_B_0, 0.9995, 0, 0, 0.00420042, 0.9995, 0.00170017, 0.9995, 0.997
Node_A_C_0, 0.993599, 0, 0, 0.0837084, 0.993599, 0.0446045, 0.993599, 0.911291
Node_A_D_0, 0.865287, 0, 0, 0, 0.865287, 0.865287, 0.865287, 0.865287
Node_D_E_0, 0.990799, 0, 0, 0.0541054, 0.990799, 0.0714071, 0.990799, 0.937294
