species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0, 0.00060006, 1.0001, 0.00010001, 1.0001, 1.0001
B, 1.0001, 0, 0, 0.00060006, 1.0001, 0.00010001, 1.0001, 1.0001
C, 1.0001, 0, 0, 0.00590059, 1.0001, 0.00070007, 1.0001, 1.0001
D, 1.0001, 0, 0, 0.00730073, 1.0001, 0.00180018, 1.0001, 1.0001
E, 1.0001, 0, 0, 0.00710071, 1.0001, 0.0020002, 1.0001, 1.0001
F, 1.0001, 0, 0, 0.988099, 1.0001, 0.0120012, 1.0001, 1.0001
Node_A_B_0, 0.9994, 0, 0, 0.00430043, 0.9994, 0.00160016, 0.9994, 0.9968
Node_A_C_0, 0.993499, 0, 0, 0.0837084, 0.993499, 0.0445045, 0.993499, 0.911191
Node_A_D_0, 0.865287, 0, 0, 0, 0.865287, 0.865287, 0.865287, 0.865287
Node_D_E_0, 0.990999, 0, 0, 0.0537054, 0.990999, 0.0720072, 0.990999, 0.937894
