species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1, 0, 0, 0.0013, 1, 0.0001, 1, 1
B, 1, 0, 0, 0.0008, 1, 0.0001, 1, 1
C, 1, 0, 0, 0.019, 1, 0.0007, 1, 1
D, 1, 0, 0, 0.9702, 1, 0.0016, 1, 1
E, 1, 0, 0, 0.0786, 1, 0.0023, 1, 1
F, 1, 0, 0, 0.016, 1, 0.012, 1, 1
Node_A_B_0, 0.9994, 0, 0, 0.0181, 0.9994, 0.0017, 0.9994, 0.9969
Node_A_C_0, 0.9936, 0, 0, 0.0174, 0.9936, 0.0449, 0.9936, 0.9117
Node_A_D_0, 0.8654, 0, 0, 0, 0.8654, 0.8654, 0.8654, 0.8654
Node_D_E_0, 0.9908, 0, 0, 0.0294, 0.9908, 0.0712, 0.9908, 0.9372
