species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0.0691069, 0.439044, 1.0001, 0.0714071, 1.0001, 1.0001
B, 1.0001, 0, 0.179018, 0.566857, 1.0001, 0.0717072, 1.0001, 1.0001
C, 1.0001, 0, 0.0288029, 0.577858, 1.0001, 0.0720072, 1.0001, 1.0001
D, 1.0001, 0, 0.0532053, 0.569957, 1.0001, 0.0536054, 1.0001, 1.0001
E, 1.0001, 0, 0.0460046, 0.552855, 1.0001, 0.0579058, 1.0001, 1.0001
F, 1.0001, 0, 0.0177018, 0.906391, 1.0001, 0.0571057, 1.0001, 1.0001
Node_A_B_0, 0.542854, 0, 0.0424042, 0.109411, 0.534153, 0.125013, 0.542854, 0.487349
Node_A_C_0, 0.368237, 0, 0.0237024, 0.080108, 0.367137, 0.206621, 0.368237, 0.316132
Node_A_D_0, 0.115312, 0, 0.00460046, 0.00550055, 0.115312, 0.079508, 0.115312, 0.112511
Node_A_F_0, 0.0435044, 0, 0, 0, 0.0435044, 0.0467047, 0.0435044, 0.0435044
Node_D_E_0, 0.430643, 0, 0.0272027, 0.183718, 0.428043, 0.158516, 0.430643, 0.314931
