species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0.234323, 0.39674, 1.0001, 0.0272027, 1.0001, 1.0001
B, 1.0001, 0, 0.511751, 0.664366, 1.0001, 0.0462046, 1.0001, 1.0001
C, 1.0001, 0, 0.111511, 0.39564, 1.0001, 0.0357036, 1.0001, 1.0001
D, 1.0001, 0, 0.257726, 0.526353, 1.0001, 0.0342034, 1.0001, 1.0001
E, 1.0001, 0, 0.19622, 0.435744, 1.0001, 0.0351035, 1.0001, 1.0001
F, 1.0001, 0, 0.0919092, 0.757476, 1.0001, 0.0567057, 1.0001, 1.0001
Node_A_B_0, 0.779678, 0, 0.126113, 0.221722, 0.691069, 0.0737074, 0.779678, 0.753075
Node_A_C_0, 0.670767, 0, 0.114611, 0.235224, 0.643264, 0.144514, 0.670767, 0.547255
Node_A_D_0, 0.429843, 0, 0.0228023, 0.0462046, 0.420542, 0.188219, 0.429843, 0.407241
Node_A_F_0, 0.241124, 0, 0, 0, 0.241124, 0.250125, 0.241124, 0.241124
Node_D_E_0, 0.69987, 0, 0.120712, 0.287429, 0.653565, 0.108411, 0.69987, 0.60096
