species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1, 0, 0.0531, 0.6794, 1, 0.0715, 1, 1
B, 1, 0, 0.1817, 1.093, 1, 0.0724, 1, 1
C, 1, 0, 0.0181, 0.3472, 1, 0.0719, 1, 1
D, 1, 0, 0.0553, 0.7763, 1, 0.0539, 1, 1
E, 1, 0, 0.0421, 0.5078, 1, 0.0581, 1, 1
F, 1, 0, 0.0071, 0.208, 1, 0.0577, 1, 1
Node_A_B_0, 0.5418, 0, 0.0597, 0.1246, 0.5333, 0.125, 0.5418, 0.4864
Node_A_C_0, 0.3682, 0, 0.0336, 0.0694, 0.3671, 0.2056, 0.3682, 0.3163
Node_A_D_0, 0.1161, 0, 0.0129, 0.03, 0.1161, 0.0805, 0.1161, 0.1133
Node_A_F_0, 0.043, 0, 0.0032, 0.0205, 0.043, 0.0462, 0.043, 0.043
Node_D_E_0, 0.4317, 0, 0.0267, 0.1365, 0.4289, 0.1572, 0.4317, 0.3158
