species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1, 0, 0.2, 0.5, 1, 0, 1, 1
B, 1, 0, 0.3, 0.7, 1, 0.1, 1, 1
C, 1, 0, 0.1, 0.4, 1, 0.1, 1, 1
D, 1, 0, 0.2, 0.8, 1, 0.1, 1, 1
E, 1, 0, 0, 1.2, 1, 0, 1, 1
F, 1, 0, 0, 0, 1, 0, 1, 1
Node_A_B_0, 0.6, 0, 0, 0.2, 0.6, 0.1, 0.6, 0.6
Node_A_C_0, 0.4, 0, 0, 0, 0.4, 0.1, 0.4, 0.2
Node_A_D_0, 0.1, 0, 0, 0, 0.1, 0, 0.1, 0.1
Node_A_F_0, 0.1, 0, 0, 0, 0.1, 0.1, 0.1, 0.1
Node_D_E_0, 0.6, 0, 0, 0.2, 0.6, 0.4, 0.6, 0.5
