species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
A, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
B, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
C, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
D, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
E, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
F, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
Node_A_B_0, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
Node_A_C_0, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
Node_A_D_0, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
Node_A_F_0, 1.0001, 0, 0, 0, 1.0001, 1.0001, 1.0001, 1.0001
Node_D_E_0, 1.0001, 0, 0, 0, 1.0001, 0, 1.0001, 1.0001
