species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
ACAM1, 18, 0, 0.03, 0.9, 18, 0, 18, 18
ANASP, 18, 0, 0, 0, 18, 0, 18, 18
ANAVT, 18, 0, 0, 0, 18, 0, 18, 18
CYAA5, 18, 0, 0, 0.05, 18, 0, 18, 18
CYAP4, 18, 0, 0.05, 0.43, 18, 0, 18, 18
CYAP7, 18, 0, 0.08, 0.02, 18, 0, 18, 18
CYAP8, 18, 0, 0, 0.04, 18, 0, 18, 18
GLVIO1, 18, 0, 0, 0.62, 18, 0, 18, 18
MICAN, 18, 0, 0.91, 0.02, 18, 0, 18, 18
NOSP7, 18, 0, 0, 0.02, 18, 0, 18, 18
Node_ANASP_ANAVT_0, 18, 0, 0, 0.01, 18, 0, 18, 18
Node_ANASP_CYAA5_0, 17.75, 0, 0.16, 0.43, 17.67, 0.09, 17.75, 17.55
Node_ANASP_NOSP7_0, 18, 0, 0.85, 0.43, 18, 0.01, 18, 17.28
Node_ANASP_SYNR3_0, 15.73, 0, 0, 0.13, 15.73, 15.73, 15.73, 15.73
Node_ANASP_THEEB_0, 17.6, 0, 0, 0.58, 17.6, 0.53, 17.6, 16.73
Node_ANASP_TRIEI_0, 17.78, 0, 0.02, 0.04, 17.65, 0, 17.78, 17.78
Node_CYAA5_CYAP7_0, 17.19, 0, 0.03, 0.06, 17.19, 0, 17.19, 17.12
Node_CYAA5_CYAP8_0, 18, 0, 0.14, 0.33, 18, 0.06, 18, 17.15
Node_CYAA5_SYNP2_0, 17.25, 0, 0.83, 0.35, 17.25, 0, 17.25, 16.93
Node_CYAA5_SYNY3_0, 17.13, 0, 0.19, 0.26, 17.13, 0.02, 17.13, 17.09
Node_CYAP7_MICAN_0, 18, 0, 0.72, 0.25, 17.99, 0, 18, 16.48
Node_PRMAR1_PROM1_0, 18, 0, 0.17, 0.98, 18, 0, 18, 17.82
Node_PRMAR1_PROM4_0, 18, 0, 0, 0.02, 18, 0, 18, 18
