species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
ACAM1, 1, 0, 0.01, 0.87, 1, 0, 1, 1
ANASP, 1, 0, 0, 0, 1, 0, 1, 1
ANAVT, 1, 0, 0, 0, 1, 0, 1, 1
CYAA5, 1, 0, 0, 0.01, 1, 0, 1, 1
CYAP4, 1, 0, 0, 0.02, 1, 0, 1, 1
CYAP7, 1, 0, 0, 0, 1, 0, 1, 1
CYAP8, 1, 0, 0, 0.02, 1, 0, 1, 1
GLVIO1, 1, 0, 0, 0.34, 1, 0, 1, 1
MICAN, 1, 0, 0, 0, 1, 0, 1, 1
NOSP7, 1, 0, 0, 0.02, 1, 0, 1, 1
Node_ANASP_ANAVT_0, 1, 0, 0, 0.01, 1, 0, 1, 1
Node_ANASP_CYAA5_0, 0.75, 0, 0.16, 0.05, 0.67, 0.01, 0.75, 0.6
Node_ANASP_NOSP7_0, 1, 0, 0.53, 0.35, 1, 0.01, 1, 0.56
Node_ANASP_SYNR3_0, 0.68, 0, 0, 0.07, 0.68, 0.68, 0.68, 0.68
Node_ANASP_THEEB_0, 0.74, 0, 0, 0.06, 0.74, 0.06, 0.74, 0.74
Node_ANASP_TRIEI_0, 0.74, 0, 0.02, 0.03, 0.65, 0, 0.74, 0.74
Node_CYAA5_CYAP7_0, 0.19, 0, 0.03, 0.02, 0.19, 0, 0.19, 0.12
Node_CYAA5_CYAP8_0, 1, 0, 0.01, 0.19, 1, 0.06, 1, 0.28
Node_CYAA5_SYNP2_0, 0.25, 0, 0.52, 0, 0.25, 0, 0.25, 0.24
Node_CYAA5_SYNY3_0, 0.13, 0, 0.19, 0.03, 0.13, 0.02, 0.13, 0.09
Node_CYAP7_MICAN_0, 1, 0, 0.03, 0.24, 1, 0, 1, 0.16
Node_PRMAR1_PROM1_0, 1, 0, 0, 0.01, 1, 0, 1, 1
Node_PRMAR1_PROM4_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM0_PROMS_0, 1.01, 0, 0, 0, 1, 0, 1.01, 1.01
Node_PROM1_PROM9_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM1_PROMT_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM2_PROM0_0, 1, 0, 0, 0.02, 1, 0, 1, 1
Node_PROM5_PROMP_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM9_PROM2_0, 1, 0, 0, 0.91, 1, 0, 1, 1
Node_PROM9_PROM5_0, 1, 0, 0, 0.01, 1, 0, 1, 1
Node_PROMM_PRMAR1_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROMM_PROM3_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROMM_SYNPW_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNE7_SYNP6_0, 1, 0, 0, 0.29, 1, 0, 1, 1
Node_SYNJA_GLVIO1_0, 1, 0, 0.01, 0.07, 1, 0, 1, 0.92
Node_SYNJA_SYNJB_0, 1, 0, 0, 0.53, 1, 0, 1, 1
Node_SYNPW_SYNPX_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNPW_SYNS3_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNPX_SYNS9_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNR3_PROMM_0, 1, 0, 0, 0.53, 1, 0, 1, 1
Node_SYNR3_SYNE7_0, 1, 0, 0.03, 0.06, 1, 0, 1, 0.89
Node_SYNR3_SYNJA_0, 0.92, 0, 0, 0.14, 0.91, 0.04, 0.92, 0.75
Node_SYNS9_SYNSC_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_THEEB_ACAM1_0, 0.96, 0, 0, 0.58, 0.96, 0.07, 0.96, 0.82
Node_THEEB_CYAP4_0, 1, 0, 0, 0.06, 1, 0.02, 1, 0.98
PRMAR1, 1, 0, 0, 0, 1, 0, 1, 1
PROM0, 1, 0, 0.17, 0, 1, 0, 1, 1
PROM1, 1, 0, 0, 0, 1, 0, 1, 1
PROM2, 1, 0, 0, 0, 1, 0, 1, 1
PROM3, 1, 0, 0, 0, 1, 0, 1, 1
PROM4, 1, 0, 0.01, 0, 1, 0, 1, 1
PROM5, 1, 0, 0, 0, 1, 0, 1, 1
PROM9, 1, 0, 0, 0.06, 1, 0, 1, 1
PROMM, 1, 0, 0, 0, 1, 0, 1, 1
PROMP, 1, 0, 0, 0, 1, 0, 1, 1
PROMS, 1, 0, 0.84, 0, 1, 0, 1, 1
PROMT, 1, 0, 0, 0, 1, 0, 1, 1
SYNE7, 1, 0, 0, 0, 1, 0, 1, 1
SYNJA, 1, 0, 0, 0, 1, 0, 1, 1
SYNJB, 1, 0, 0, 0, 1, 0, 1, 1
SYNP2, 1, 0, 0.04, 0.44, 1, 0, 1, 1
SYNP6, 1, 0, 0, 0, 1, 0, 1, 1
SYNPW, 1, 0, 0, 0, 1, 0, 1, 1
SYNPX, 1, 0, 0, 0, 1, 0, 1, 1
SYNR3, 1, 0, 0, 0, 1, 0, 1, 1
SYNS3, 1, 0, 0, 0, 1, 0, 1, 1
SYNS9, 1, 0, 0, 0, 1, 0, 1, 1
SYNSC, 1, 0, 0, 0, 1, 0, 1, 1
SYNY3, 1, 0, 0.01, 0.09, 1, 0.02, 1, 1
THEEB, 1, 0, 0, 0.29, 1, 0, 1, 1
TRIEI, 1, 0, 0.21, 0.03, 1, 0.01, 1, 1
