species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_SYNJA_SYNJB_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNPW_SYNS3_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM5_PROMP_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM0_PROMS_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM9_PROM2_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNS9_SYNSC_0, 1, 0, 0, 0, 1, 0, 1, 0
Node_PROM9_PROM5_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNE7_SYNP6_0, 1, 0, 1, 0, 1, 0, 1, 0
Node_PROM1_PROMT_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM1_PROM9_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PRMAR1_PROM1_0, 1, 0, 0, 1, 1, 0, 1, 1
Node_PROMM_PRMAR1_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROMM_SYNPW_0, 1, 0, 0, 1, 1, 0, 1, 1
Node_SYNR3_SYNJA_0, 1, 0, 0, 0, 1, 0, 1, 0
Node_CYAP7_MICAN_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_CYAA5_CYAP8_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_THEEB_CYAP4_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_CYAA5_CYAP7_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_CYAA5_SYNY3_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_CYAA5_SYNP2_0, 1, 0, 0, 1, 1, 0, 1, 1
Node_ANASP_TRIEI_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_ANASP_CYAA5_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_ANASP_THEEB_0, 1, 0, 0, 0, 1, 1, 1, 1
PROM3, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNR3_SYNE7_0, 1, 0, 0, 0, 1, 0, 1, 1
PROM2, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM2_PROM0_0, 1, 0, 0, 0, 1, 0, 1, 1
THEEB, 1, 0, 1, 2, 1, 0, 1, 1
PROM4, 1, 0, 1, 0, 1, 0, 1, 1
SYNPW, 1, 0, 0, 0, 1, 0, 1, 1
Node_ANASP_NOSP7_0, 1, 0, 0, 0, 1, 0, 1, 1
SYNP2, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNR3_PROMM_0, 1, 0, 0, 0, 1, 0, 1, 1
PRMAR1, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNPX_SYNS9_0, 0, 0, 1, 0, 0, 0, 0, 0
SYNY3, 1, 0, 0, 0, 1, 0, 1, 1
CYAP7, 1, 0, 0, 0, 1, 0, 1, 1
Node_THEEB_ACAM1_0, 1, 0, 0, 0, 1, 0, 1, 1
MICAN, 1, 0, 0, 0, 1, 0, 1, 1
PROMT, 1, 0, 0, 0, 1, 0, 1, 1
ANAVT, 1, 0, 0, 0, 1, 0, 1, 1
PROM0, 1, 0, 0, 0, 1, 0, 1, 1
SYNJA, 1, 0, 0, 0, 1, 0, 1, 1
Node_ANASP_ANAVT_0, 1, 0, 0, 0, 1, 0, 1, 1
TRIEI, 1, 0, 0, 0, 1, 0, 1, 1
PROM5, 1, 0, 0, 0, 1, 0, 1, 1
Node_PRMAR1_PROM4_0, 1, 0, 0, 0, 1, 0, 1, 1
CYAA5, 1, 0, 0, 0, 1, 0, 1, 1
NOSP7, 1, 0, 0, 0, 1, 0, 1, 1
PROMM, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNJA_GLVIO1_0, 1, 0, 0, 0, 1, 0, 1, 1
PROM9, 1, 0, 0, 0, 1, 0, 1, 1
ACAM1, 1, 0, 0, 0, 1, 0, 1, 1
CYAP4, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROMM_PROM3_0, 1, 0, 0, 0, 1, 0, 1, 1
SYNS9, 1, 0, 0, 0, 1, 0, 1, 1
SYNSC, 1, 0, 0, 1, 1, 0, 1, 1
PROM1, 1, 0, 0, 0, 1, 0, 1, 1
GLVIO1, 1, 0, 0, 0, 1, 0, 1, 1
SYNPX, 1, 0, 0, 0, 1, 0, 1, 1
PROMS, 1, 0, 0, 0, 1, 0, 1, 1
PROMP, 1, 0, 0, 0, 1, 0, 1, 1
ANASP, 1, 0, 0, 0, 1, 0, 1, 1
SYNS3, 1, 0, 0, 0, 1, 0, 1, 1
CYAP8, 1, 0, 0, 0, 1, 0, 1, 1
SYNE7, 1, 0, 0, 0, 1, 0, 1, 1
Node_SYNPW_SYNPX_0, 1, 0, 0, 0, 1, 0, 1, 1
SYNR3, 1, 0, 0, 0, 1, 0, 1, 1
SYNP6, 1, 0, 0, 0, 1, 0, 1, 1
SYNJB, 1, 0, 0, 0, 1, 0, 1, 1
