species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
ACAM1, 18, 0, 0.03, 0.12, 18, 0, 18, 18
ANASP, 18, 0, 0, 0, 18, 0, 18, 18
ANAVT, 18, 0, 0, 0, 18, 0, 18, 18
CYAA5, 18, 0, 0, 1, 18, 0, 18, 18
CYAP4, 18, 0, 0.08, 1.52, 18, 0, 18, 18
CYAP7, 18, 0, 0.03, 0.27, 18, 0, 18, 18
CYAP8, 18, 0, 0, 0, 18, 0, 18, 18
GLVIO1, 18, 0, 0, 0.25, 18, 0, 18, 18
MICAN, 18, 0, 0.04, 0.63, 18, 0, 18, 18
NOSP7, 18, 0, 0, 0, 18, 0, 18, 18
Node_ANASP_ANAVT_0, 18, 0, 0, 0.03, 18, 0, 18, 18
Node_ANASP_CYAA5_0, 17.96, 0, 0.11, 0.39, 17.82, 0.4, 17.96, 17.74
Node_ANASP_NOSP7_0, 18, 0, 0.82, 0.71, 18, 0, 18, 17.45
Node_ANASP_SYNR3_0, 13.78, 0, 0, 0.09, 13.78, 13.78, 13.78, 13.78
Node_ANASP_THEEB_0, 17.45, 0, 0, 1.19, 17.44, 0.85, 17.45, 15.63
Node_ANASP_TRIEI_0, 18.03, 0, 0, 0.03, 17.88, 0.02, 18.03, 18
Node_CYAA5_CYAP7_0, 17.97, 0, 0.44, 0.08, 17.95, 0, 17.97, 17.53
Node_CYAA5_CYAP8_0, 18, 0, 0.09, 0.03, 18, 0, 18, 17.89
Node_CYAA5_SYNP2_0, 17.43, 0, 0.75, 0.53, 17.42, 0, 17.43, 17.26
Node_CYAA5_SYNY3_0, 17.95, 0, 0.38, 0.04, 17.94, 0.02, 17.95, 17.08
Node_CYAP7_MICAN_0, 18.01, 0, 0.64, 0.41, 18, 0, 18.01, 17.34
Node_PRMAR1_PROM1_0, 17.91, 0, 1.09, 1.26, 17.91, 0, 17.91, 16.84
Node_PRMAR1_PROM4_0, 18, 0, 0, 0.02, 18, 0, 18, 17.91
Node_PROM0_PROMS_0, 18.03, 0, 0.18, 0.06, 18, 0, 18.03, 18
Node_PROM1_PROM9_0, 18.01, 0, 0.06, 0.23, 18, 0, 18.01, 17.86
