species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
ACAM1, 1, 0, 0.01, 0.07, 1, 0, 1, 1
ANASP, 1, 0, 0, 0, 1, 0, 1, 1
ANAVT, 1, 0, 0, 0, 1, 0, 1, 1
CYAA5, 1, 0, 0, 0, 1, 0, 1, 1
CYAP4, 1, 0, 0, 0.92, 1, 0, 1, 1
CYAP7, 1, 0, 0, 0, 1, 0, 1, 1
CYAP8, 1, 0, 0, 0, 1, 0, 1, 1
GLVIO1, 1, 0, 0, 0.18, 1, 0, 1, 1
MICAN, 1, 0, 0, 0, 1, 0, 1, 1
NOSP7, 1, 0, 0, 0, 1, 0, 1, 1
Node_ANASP_ANAVT_0, 1, 0, 0, 0.03, 1, 0, 1, 1
Node_ANASP_CYAA5_0, 0.99, 0, 0.1, 0.01, 0.85, 0.06, 0.99, 0.8
Node_ANASP_NOSP7_0, 1, 0, 0.59, 0.45, 1, 0, 1, 0.68
Node_ANASP_SYNR3_0, 0.69, 0, 0, 0.01, 0.69, 0.69, 0.69, 0.69
Node_ANASP_THEEB_0, 0.84, 0, 0, 0.01, 0.83, 0.12, 0.84, 0.82
Node_ANASP_TRIEI_0, 1.03, 0, 0, 0.02, 0.88, 0.02, 1.03, 1.03
Node_CYAA5_CYAP7_0, 0.97, 0, 0, 0.02, 0.95, 0, 0.97, 0.96
Node_CYAA5_CYAP8_0, 1, 0, 0.02, 0.01, 1, 0, 1, 0.96
Node_CYAA5_SYNP2_0, 0.43, 0, 0.62, 0.01, 0.42, 0, 0.43, 0.42
Node_CYAA5_SYNY3_0, 0.94, 0, 0.38, 0.03, 0.94, 0.02, 0.94, 0.07
Node_CYAP7_MICAN_0, 1, 0, 0.64, 0.4, 1, 0, 1, 0.33
Node_PRMAR1_PROM1_0, 0.91, 0, 0.26, 0.17, 0.91, 0, 0.91, 0.75
Node_PRMAR1_PROM4_0, 1, 0, 0, 0.01, 1, 0, 1, 0.91
Node_PROM0_PROMS_0, 1.03, 0, 0, 0, 1, 0, 1.03, 1.03
Node_PROM1_PROM9_0, 1, 0, 0.03, 0.01, 1, 0, 1, 0.88
Node_PROM1_PROMT_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM2_PROM0_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM5_PROMP_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROM9_PROM2_0, 1, 0, 0, 0.9, 1, 0, 1, 1
Node_PROM9_PROM5_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROMM_PRMAR1_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_PROMM_PROM3_0, 1, 0, 0.09, 0.5, 1, 0, 1, 0.91
Node_PROMM_SYNPW_0, 1, 0, 0, 0.02, 1, 0, 1, 1
Node_SYNE7_SYNP6_0, 1, 0, 0, 0.02, 1, 0, 1, 0.91
Node_SYNJA_GLVIO1_0, 1, 0, 0, 0.04, 1, 0.01, 1, 0.75
Node_SYNJA_SYNJB_0, 1, 0, 0, 0.56, 1, 0, 1, 1
Node_SYNPW_SYNPX_0, 1.02, 0, 0, 0, 1, 0, 1.02, 1.02
Node_SYNPW_SYNS3_0, 1, 0, 0.63, 0.09, 1, 0, 1, 0.39
Node_SYNPX_SYNS9_0, 1, 0, 0.03, 0.02, 1, 0, 1, 0.99
Node_SYNR3_PROMM_0, 1, 0, 0, 0.66, 1, 0, 1, 0.91
Node_SYNR3_SYNE7_0, 0.91, 0, 0.06, 0, 0.91, 0, 0.91, 0.68
Node_SYNR3_SYNJA_0, 0.74, 0, 0, 0.05, 0.74, 0.01, 0.74, 0.71
Node_SYNS9_SYNSC_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_THEEB_ACAM1_0, 0.99, 0, 0.01, 0.09, 0.99, 0.05, 0.99, 0.88
Node_THEEB_CYAP4_0, 1, 0, 0, 0.03, 1, 0, 1, 0.99
PRMAR1, 1, 0, 0.01, 0.12, 1, 0, 1, 1
PROM0, 1, 0, 0.03, 0.01, 1, 0, 1, 1
PROM1, 1, 0, 0, 0, 1, 0, 1, 1
PROM2, 1, 0, 0.01, 0, 1, 0, 1, 1
PROM3, 1, 0, 0, 0, 1, 0, 1, 1
PROM4, 1, 0, 0.04, 0, 1, 0, 1, 1
PROM5, 1, 0, 0, 0, 1, 0, 1, 1
PROM9, 1, 0, 0.02, 0.07, 1, 0, 1, 1
PROMM, 1, 0, 0, 0, 1, 0, 1, 1
PROMP, 1, 0, 0, 0, 1, 0, 1, 1
PROMS, 1, 0, 0.97, 0.02, 1, 0, 1, 1
PROMT, 1, 0, 0, 0, 1, 0, 1, 1
SYNE7, 1, 0, 0, 0, 1, 0, 1, 1
SYNJA, 1, 0, 0, 0, 1, 0, 1, 1
SYNJB, 1, 0, 0, 0, 1, 0, 1, 1
SYNP2, 1, 0, 0.04, 0.31, 1, 0, 1, 1
SYNP6, 1, 0, 0, 0, 1, 0, 1, 1
SYNPW, 1, 0, 0, 0, 1, 0, 1, 1
SYNPX, 1, 0, 0, 0, 1, 0, 1, 1
SYNR3, 1, 0, 0, 0, 1, 0, 1, 1
SYNS3, 1, 0, 0.01, 0.24, 1, 0, 1, 1
SYNS9, 1, 0, 0, 0, 1, 0, 1, 1
SYNSC, 1, 0, 0, 0, 1, 0, 1, 1
SYNY3, 1, 0, 0, 0.04, 1, 0, 1, 1
THEEB, 1, 0, 0, 0.11, 1, 0, 1, 1
TRIEI, 1, 0, 0.29, 0.14, 1, 0.02, 1, 1
